"date","nform","inflow","key","value"
2016-10-24,"nh4",0.193,"p1",0.086
2016-10-26,"nh4",0.407,"p1",0.245
2016-10-28,"nh4",0.326,"p1",0.217
2016-10-31,"nh4",0.167,"p1",0.136
2016-11-02,"nh4",0.201,"p1",0.144
2016-11-04,"nh4",0.481,"p1",0.265
2016-11-07,"nh4",0.299,"p1",0.177
2016-11-14,"nh4",0.444,"p1",0.547
2016-11-18,"nh4",0.255,"p1",0.139
2016-11-21,"nh4",0.264,"p1",0.103
2016-11-26,"nh4",0.507,"p1",0.257
2016-11-28,"nh4",0.294,"p1",0.23
2016-12-02,"nh4",0.258,"p1",0.156
2016-12-05,"nh4",0.303,"p1",0.246
2016-12-08,"nh4",0.261,"p1",0.227
2016-12-13,"nh4",0.42,"p1",0.28
2016-12-16,"nh4",0.535,"p1",0.345
2016-12-21,"nh4",0.335,"p1",0.183
2016-12-29,"nh4",0.246,"p1",0.115
2017-01-02,"nh4",0.29,"p1",0.191
2017-01-05,"nh4",0.737,"p1",0.533
2017-01-10,"nh4",0.179,"p1",0.113
2017-01-16,"nh4",0.416,"p1",0.303
2017-01-18,"nh4",0.509,"p1",0.294
2017-01-20,"nh4",0.545,"p1",0.277
2017-01-23,"nh4",0.32,"p1",0.193
2017-01-25,"nh4",0.266,"p1",0.135
2017-02-01,"nh4",0.607,"p1",0.333
2017-02-03,"nh4",0.698,"p1",0.348
2017-02-06,"nh4",0.436,"p1",0.233
2017-02-08,"nh4",0.488,"p1",0.204
2017-02-10,"nh4",0.499,"p1",0.257
2017-02-13,"nh4",0.366,"p1",0.216
2017-02-15,"nh4",0.604,"p1",0.28
2017-02-21,"nh4",0.265,"p1",0.156
2017-02-24,"nh4",0.422,"p1",0.193
2017-02-27,"nh4",0.353,"p1",0.224
2017-03-01,"nh4",0.667,"p1",0.3
2017-03-03,"nh4",0.644,"p1",0.347
2017-03-06,"nh4",0.522,"p1",0.284
2017-03-10,"nh4",0.668,"p1",0.297
2017-03-13,"nh4",0.39,"p1",0.223
2017-03-15,"nh4",0.778,"p1",0.307
2017-03-17,"nh4",0.989,"p1",0.296
2017-03-20,"nh4",0.493,"p1",0.223
2017-03-22,"nh4",0.509,"p1",0.252
2017-03-24,"nh4",0.74,"p1",0.438
2017-03-27,"nh4",0.381,"p1",0.263
2017-03-29,"nh4",0.706,"p1",0.386
2017-03-31,"nh4",0.392,"p1",0.25
2017-04-03,"nh4",0.546,"p1",0.301
2017-04-05,"nh4",0.797,"p1",0.362
2017-04-07,"nh4",0.828,"p1",0.162
2017-04-24,"nh4",0.38,"p1",0.179
2017-04-26,"nh4",0.497,"p1",0.255
2017-04-28,"nh4",0.618,"p1",0.214
2017-05-02,"nh4",0.581,"p1",0.312
2017-05-05,"nh4",0.56,"p1",0.224
2017-05-08,"nh4",0.458,"p1",0.235
2017-05-10,"nh4",0.605,"p1",0.307
2017-05-12,"nh4",0.623,"p1",0.279
2017-05-15,"nh4",0.551,"p1",0.334
2017-05-17,"nh4",0.594,"p1",0.265
2017-05-29,"nh4",0.497,"p1",0.178
2017-05-31,"nh4",0.739,"p1",0.267
2017-06-02,"nh4",0.649,"p1",0.222
2017-06-05,"nh4",0.487,"p1",0.249
2017-06-07,"nh4",0.641,"p1",0.232
2017-06-09,"nh4",0.702,"p1",0.263
2017-06-12,"nh4",0.69,"p1",0.392
2017-06-14,"nh4",0.675,"p1",0.331
2017-06-16,"nh4",0.577,"p1",0.251
2017-06-19,"nh4",0.477,"p1",0.214
2017-06-21,"nh4",0.644,"p1",0.216
2017-06-23,"nh4",0.653,"p1",0.224
2017-06-26,"nh4",0.487,"p1",0.178
2017-06-28,"nh4",0.586,"p1",0.24
2017-06-30,"nh4",0.671,"p1",0.266
2017-07-03,"nh4",0.556,"p1",0.259
2017-07-05,"nh4",0.871,"p1",0.386
2017-07-07,"nh4",0.44,"p1",0.154
2017-07-10,"nh4",0.382,"p1",0.168
2017-07-12,"nh4",0.533,"p1",0.178
2017-07-14,"nh4",0.433,"p1",0.135
2017-07-18,"nh4",0.732,"p1",0.275
2017-07-21,"nh4",0.695,"p1",0.269
2017-07-24,"nh4",0.557,"p1",0.234
2017-07-26,"nh4",0.803,"p1",0.362
2017-07-28,"nh4",0.581,"p1",0.256
2017-07-30,"nh4",0.441,"p1",0.36
2017-08-02,"nh4",0.648,"p1",0.552
2017-08-07,"nh4",0.209,"p1",0.301
2017-08-09,"nh4",0.388,"p1",0.234
2017-08-14,"nh4",0.276,"p1",0.146
2017-08-16,"nh4",0.404,"p1",0.294
2017-08-18,"nh4",0.238,"p1",0.101
2017-08-21,"nh4",0.426,"p1",0.239
2017-08-23,"nh4",0.455,"p1",0.199
2017-08-25,"nh4",0.474,"p1",0.3
2017-08-28,"nh4",0.693,"p1",0.438
2017-08-30,"nh4",0.295,"p1",0.132
2017-09-01,"nh4",0.293,"p1",0.169
2017-09-04,"nh4",0.486,"p1",0.31
2017-09-06,"nh4",0.401,"p1",0.239
2016-04-13,"nh3n",0.376,"p1",0.061
2016-04-14,"nh3n",0.414,"p1",0.203
